title,year,img file name,material,size,URL
Mother As A Void,1988,507.jpg,Fibreglass and pigment,205×205×230 cm,http://anishkapoor.com/389/mother-as-a-void
Body,1988,508.jpg,Microcrystalline wax and mixed media,136×173×173 cm,http://anishkapoor.com/727/body
Virgin,1988,509.jpg,"Microcrysaline wax, fibreglass and pigment",110×168×168 cm,http://anishkapoor.com/1068/virgin
Void,1987,510.jpg,Fibreglass and pigment,83×83×66 cm,http://anishkapoor.com/6551/void-4
Shrine,1987,511.jpg,Bronze and pigment,60×128×128 cm,http://anishkapoor.com/6543/shrine-2
I,1987,512.jpg,Limestone and pigment,59×63×95 cm,http://anishkapoor.com/4594/i
Untitled,1987,513.jpg,Gouache on paper,47×56 cm,http://anishkapoor.com/5057/untitled-98
Here and There,1987,514.jpg,Limestone and pigment,90×247×160 cm,http://anishkapoor.com/1067/here-and-there-2
At the Hub of Things,1987,515.jpg,Fibreglass and pigment,150×163×141 cm,http://anishkapoor.com/66/at-the-hub-of-things
Shrine,1987,516.jpg,"Wax, fibreglass and pigment",61×155×155 cm,http://anishkapoor.com/1066/shrine
Untitled,1986,517.jpg,Limestone and pigment,124×146×133 cm,http://anishkapoor.com/5399/untitled-104
Untitled,1986,518.jpg,Mixed media and pigment,75×75×46 cm,http://anishkapoor.com/5394/untitled-103
Blue Flower,1986,519.jpg,Mixed media and pigment,50×50×50 cm,http://anishkapoor.com/5392/blue-flower
Dark,1986,520.jpg,Mixed media and pigment,Dimensions variable,http://anishkapoor.com/5390/dark
Untitled,1986,521.jpg,Mixed media on paper,56.5×48.5 cm,http://anishkapoor.com/6562/untitled-170
Untitled,1986,522.jpg,Earth and pigment on paper,81.5×100 cm,http://anishkapoor.com/6560/untitled-169
Untitled,1986,523.jpg,Pencil and ink on paper,30.5×23 cm,http://anishkapoor.com/6558/untitled-168
Untitled,1986,524.jpg,Ink and pencil on paper,30.5×23.5 cm,http://anishkapoor.com/6556/untitled-167
Untitled,1986,525.jpg,Granite and pigment,Dimensions variable,http://anishkapoor.com/6538/untitled-166
Untitled,1986,526.jpg,Mixed media and pigment,123×123×66 cm,http://anishkapoor.com/6533/untitled-165
Untitled,1986,527.jpg,Mixed media and pigment,Dimensions variable,http://anishkapoor.com/4566/untitled-86
"A Flower, A Drama Like Death",1986,528.jpg,Mixed media and pigment,55×350×150 cm,http://anishkapoor.com/617/a-flower-a-drama-like-death
The Pot is a God II,1985,529.jpg,Mixed media and pigment,53×43×38 cm,http://anishkapoor.com/6529/the-pot-is-a-god-ii
In Search of the Mountain II,1985,530.jpg,Wood and pigment,62×100×44,http://anishkapoor.com/6526/in-search-of-the-mountain-ii
Untitled,1985,531.jpg,"Wood, gesso and pigment",117×118×218 cm,http://anishkapoor.com/6524/untitled-164
Untitled,1985,532.jpg,"Wood, gesso and pigment",110×110×200 cm,http://anishkapoor.com/6522/untitled-163
Mother as a Mountain (Black),1985,533.jpg,Mixed media and pigment,140×275×105 cm,http://anishkapoor.com/4521/mother-as-a-mountain-black
The Pot is a God,1985,534.jpg,"Wood, gesso and pigment",45×80×80 cm,http://anishkapoor.com/1060/the-pot-is-a-god
1000 Names,1985,535.jpg,"Wood, gesso and pigment",125×50×70 cm,http://anishkapoor.com/359/1000-names
Place,1985,536.jpg,"Wood, gesso and pigment",100×275×175 cm,http://anishkapoor.com/706/place
Pot for Her,1985,537.jpg,"Wood, gesso and pigment",100×275×175cm,http://anishkapoor.com/61/pot-for-her
Mother as a Mountain,1985,538.jpg,"Wood, gesso and pigment",140×275×105 cm,http://anishkapoor.com/60/mother-as-a-mountain
Untitled,1984,539.jpg,"Mixed media, earth and pigment",Dimensions variable,http://anishkapoor.com/5363/untitled-101
Half,1984,540.jpg,Mixed media and pigment,104×186×46 cm,http://anishkapoor.com/5361/half
1000 Names,1984,541.jpg,"Mixed media, earth and pigment",69×69×84 cm,http://anishkapoor.com/6604/1000-names-26
Half,1984,542.jpg,"Mixed media, earth and pigment",34×41×18 cm,http://anishkapoor.com/6601/half-2
Untitled,1984,543.jpg,Mixed media and pigment,99×150×150 cm,http://anishkapoor.com/6599/untitled-172
Untitled,1984,544.jpg,Mixed media and pigment,122×122×122 cm,http://anishkapoor.com/6516/untitled-162
Untitled,1984,545.jpg,Mixed media and pigment,152×152×213 cm,http://anishkapoor.com/6509/untitled-161
1000 Names,1984,546.jpg,Mixed media and pigment,33×30.5×94 cm,http://anishkapoor.com/6507/1000-names-25
Wound,1984,547.jpg,Mixed media and pigment,183×107×137 cm,http://anishkapoor.com/6504/wound-2
Chant of Blue,1984,548.jpg,"Mixed media, earth and pigment",Dimensions variable,http://anishkapoor.com/6501/chant-of-blue
Hole and Vessel II,1984,549.jpg,"Mixed media, earth and pigment",94×163×110 cm,http://anishkapoor.com/6496/hole-and-vessel-ii
Untitled,1984,550.jpg,Mixed media and pigment,73.7×73.7×63.5 cm,http://anishkapoor.com/6494/untitled-160
1000 Names,1984,551.jpg,Mixed media and pigment,Dimensions variable,http://anishkapoor.com/4523/1000-names-15
In Search of the Mountain,1984,552.jpg,Wood gesso and pigment,254×114.5×114.5 cm,http://anishkapoor.com/1059/in-search-of-the-mountain
Red,1983,553.jpg,Mixed media and pigment,Dimensions variable,http://anishkapoor.com/5352/red-2
1000 Names,1983,554.jpg,Mixed media and pigment,Dimensions variable,http://anishkapoor.com/6491/1000-names-24
1000 Names,1983,555.jpg,Mixed media and pigment,30×35×35 cm,http://anishkapoor.com/6483/1000-names-23
1000 Names,1983,556.jpg,Mixed media and pigment,38×38×38 cm,http://anishkapoor.com/6480/1000-names-22
Hole and Vessel,1983,557.jpg,Mixed media ,Dimensions variable,http://anishkapoor.com/4649/hole-and-vessel
1000 Names,1983,558.jpg,Mixed media and pigment,84×25×21 cm,http://anishkapoor.com/6464/1000-names-21
1000 Names,1983,559.jpg,Mixed media and pigment,45×45×90cm,http://anishkapoor.com/6462/1000-names-20
Black Earth,1983,560.jpg,Mixed media and pigment,Dimensions variable,http://anishkapoor.com/6460/black-earth
1000 Names,1983,561.jpg,Mixed media and pigment,45×54×36.5 cm,http://anishkapoor.com/6457/1000-names-19
Untitled,1983,562.jpg,Mixed media and gold leaf,45×55×31,http://anishkapoor.com/6379/untitled-159
Six Secret Places,1983,563.jpg,Mixed media and pigment,Dimensions variable,http://anishkapoor.com/6377/six-secret-places
Untitled,1983,564.jpg,"Mixed media, earth and pigment",191×191×43,http://anishkapoor.com/6372/untitled-158
Untitled,1983,565.jpg,Mixed media and pigment,120×80×20 cm,http://anishkapoor.com/6368/untitled-157
Full,1983,566.jpg,"Mixed media, pigment and earth",Dimensions variable,http://anishkapoor.com/5653/full
The Chant of Blue,1983,567.jpg,Mixed media and pigment,Dimensions variable,http://anishkapoor.com/426/the-chant-of-blue
Untitled,1983,568.jpg,Mixed media and pigment,Dimensions variable,http://anishkapoor.com/1061/untitled-67
Untitled,1983,569.jpg,Mixed media and gold leaf,70×70×70 cm,http://anishkapoor.com/1069/untitled-68
1000 Names,1983,570.jpg,Mixed media and pigment,60×60×60 cm,http://anishkapoor.com/1070/1000-names-2
1000 Names,1983,571.jpg,Mixed media and pigment,134×30×73 cm,http://anishkapoor.com/427/1000-names-3
1000 Names,1979–80,572.jpg,"Wood, gesso, pigment",63.5 x 51 x 30.5 cm,http://anishkapoor.com/269/1000-names-4
1000 Names,1983,573.jpg,Mixed media and pigment,55×18×45 cm,http://anishkapoor.com/1071/1000-names-5
Tongue,1982,574.jpg,Mixed media and pigment,Dimensions variable,http://anishkapoor.com/6625/tongue-2
1000 Names,1982,575.jpg,"Mixed media, earth and pigment",100×100×185 cm,http://anishkapoor.com/6621/1000-names-29
1000 Names,1982,576.jpg,Mixed media and pigment,51×51×41 cm,http://anishkapoor.com/6616/1000-names-28
1000 Names,1982,577.jpg,Mixed media and pigment,48×30.5×30.5 cm,http://anishkapoor.com/6613/1000-names-27
Untitled,1982,578.jpg,Mixed media and pigment ,250×100×80 cm,http://anishkapoor.com/6608/untitled-173
Red in the Centre II,1982,579.jpg,Mixed media earth and pigment,Dimensions variable ,http://anishkapoor.com/4655/red-in-the-centre-ii
1000 Names,1982,580.jpg,None,None,http://anishkapoor.com/4529/1000-names-17
1000 Names,1982,581.jpg,Wood and chalk,51×38×59 cm,http://anishkapoor.com/4526/1000-names-16
Red in the Centre,1982,582.jpg,"Miixed media, earth and pigment",Dimensions variable,http://anishkapoor.com/777/red-in-the-centre
Three,1982,583.jpg,"Mixed media, earth and pigment",Dimensions variable,http://anishkapoor.com/736/three
"White Sand, Red Millet, Many Flowers",1982,584.jpg,Mixed media and pigment,101×241.5×217.4 cm,http://anishkapoor.com/58/white-sand-red-millet-many-flowers
1000 Names,1982,585.jpg,Mixed media and pigment,Dimensions variable,http://anishkapoor.com/56/1000-names-6
1000 Names,1982,586.jpg,Mixed media and pigment,60×10×30 cn,http://anishkapoor.com/353/1000-names-7
1000 Names,1981,587.jpg,Mixed media and chalk,130×70×70 cm,http://anishkapoor.com/6633/1000-names-31
1000 Names,1981,588.jpg,Mixed media and pigment,Dimensions variable,http://anishkapoor.com/6631/1000-names-30
As if to Celebrate I Discovered a Mountain Blooming with Red Flowers,1981,589.jpg,Mixed media and pigment,107×305×305cm,http://anishkapoor.com/57/as-if-to-celebrate-i-discovered-a-mountain-blooming-with-red-flowers
Part of the Red,1981,590.jpg,Mixed media and pigment,Dimensions variable,http://anishkapoor.com/428/part-of-the-red
To Reflect an Intimate Part of the Red,1981,591.jpg,Mixed media and pigment,Dimensions variable,http://anishkapoor.com/59/to-reflect-an-intimate-part-of-the-red
1000 Names,1980–1981,592.jpg,"Wood, gesso and pigment",102×102×102 cm,http://anishkapoor.com/429/1000-names-8
1000 Names,1979–1980,593.jpg,"Wood, gesso and pigment",Dimensions variable,http://anishkapoor.com/356/1000-names-9
1000 Names,1979–1980,594.jpg,Mixed media and pigment,38×30×28 cm,http://anishkapoor.com/352/1000-names-10
1000 Names,1979-80,595.jpg,"Wood, gesso and pigment",height 183 cm,http://anishkapoor.com/354/1000-names-11
1000 Names,1979–80,596.jpg,Mixed media and pigment,Dimensions variable,http://anishkapoor.com/5100/1000-names-18
Untitled,1977-78,597.jpg,Mixed media,Dimensions variable,http://anishkapoor.com/612/untitled-69
Eternal Bonds,1977,598.jpg,None,None,http://anishkapoor.com/261/eternal-bonds
Untitled,1976,599.jpg,Mixed media,Dimensions variable,http://anishkapoor.com/653/untitled-70
Untitled,1975,600.jpg,"Paint, chalk, steel and plaster",15×121×274 cm,http://anishkapoor.com/262/untitled-71
